,id,timestamp,from_loc,to_loc,request_type
52,r_loc_16_loc_18_comfort1667868217.020304,2022-11-07 16:43:37.020304,loc_16,loc_18,comfort
53,r_loc_4_loc_1_xl1667868218.020304,2022-11-07 16:43:38.020304,loc_4,loc_1,xl
54,r_loc_14_loc_1_xl1667868219.020304,2022-11-07 16:43:39.020304,loc_14,loc_1,xl
55,r_loc_19_loc_2_comfort1667868220.020304,2022-11-07 16:43:40.020304,loc_19,loc_2,comfort
56,r_loc_2_loc_13_xl1667868221.020304,2022-11-07 16:43:41.020304,loc_2,loc_13,xl
57,r_loc_0_loc_19_comfort1667868222.020304,2022-11-07 16:43:42.020304,loc_0,loc_19,comfort
58,r_loc_6_loc_8_x1667868223.020304,2022-11-07 16:43:43.020304,loc_6,loc_8,x
59,r_loc_19_loc_6_xl1667868224.020304,2022-11-07 16:43:44.020304,loc_19,loc_6,xl
60,r_loc_17_loc_13_xl1667868225.020304,2022-11-07 16:43:45.020304,loc_17,loc_13,xl
61,r_loc_8_loc_12_green1667868226.020304,2022-11-07 16:43:46.020304,loc_8,loc_12,green
62,r_loc_17_loc_3_xl1667868227.020304,2022-11-07 16:43:47.020304,loc_17,loc_3,xl
63,r_loc_0_loc_7_green1667868228.020304,2022-11-07 16:43:48.020304,loc_0,loc_7,green
64,r_loc_13_loc_16_green1667868229.020304,2022-11-07 16:43:49.020304,loc_13,loc_16,green
65,r_loc_0_loc_2_comfort1667868230.020304,2022-11-07 16:43:50.020304,loc_0,loc_2,comfort
66,r_loc_10_loc_15_x1667868231.020304,2022-11-07 16:43:51.020304,loc_10,loc_15,x
67,r_loc_6_loc_4_xl1667868232.020304,2022-11-07 16:43:52.020304,loc_6,loc_4,xl
68,r_loc_12_loc_4_x1667868233.020304,2022-11-07 16:43:53.020304,loc_12,loc_4,x
69,r_loc_15_loc_16_xl1667868234.020304,2022-11-07 16:43:54.020304,loc_15,loc_16,xl
70,r_loc_16_loc_7_comfort1667868235.020304,2022-11-07 16:43:55.020304,loc_16,loc_7,comfort
71,r_loc_13_loc_16_comfort1667868236.020304,2022-11-07 16:43:56.020304,loc_13,loc_16,comfort
72,r_loc_9_loc_4_green1667868237.020304,2022-11-07 16:43:57.020304,loc_9,loc_4,green
73,r_loc_8_loc_1_x1667868238.020304,2022-11-07 16:43:58.020304,loc_8,loc_1,x
74,r_loc_5_loc_13_x1667868239.020304,2022-11-07 16:43:59.020304,loc_5,loc_13,x
75,r_loc_16_loc_2_comfort1667868240.020304,2022-11-07 16:44:00.020304,loc_16,loc_2,comfort
76,r_loc_6_loc_6_xl1667868241.020304,2022-11-07 16:44:01.020304,loc_6,loc_6,xl
77,r_loc_2_loc_10_comfort1667868242.020304,2022-11-07 16:44:02.020304,loc_2,loc_10,comfort
78,r_loc_18_loc_13_green1667868243.020304,2022-11-07 16:44:03.020304,loc_18,loc_13,green
79,r_loc_12_loc_14_x1667868244.020304,2022-11-07 16:44:04.020304,loc_12,loc_14,x
80,r_loc_9_loc_8_green1667868245.020304,2022-11-07 16:44:05.020304,loc_9,loc_8,green
81,r_loc_1_loc_12_x1667868246.020304,2022-11-07 16:44:06.020304,loc_1,loc_12,x
82,r_loc_6_loc_0_xl1667868247.020304,2022-11-07 16:44:07.020304,loc_6,loc_0,xl
83,r_loc_3_loc_10_x1667868248.020304,2022-11-07 16:44:08.020304,loc_3,loc_10,x
84,r_loc_19_loc_19_xl1667868249.020304,2022-11-07 16:44:09.020304,loc_19,loc_19,xl
85,r_loc_16_loc_6_x1667868250.020304,2022-11-07 16:44:10.020304,loc_16,loc_6,x
86,r_loc_7_loc_10_comfort1667868251.020304,2022-11-07 16:44:11.020304,loc_7,loc_10,comfort
87,r_loc_5_loc_16_xl1667868252.020304,2022-11-07 16:44:12.020304,loc_5,loc_16,xl
88,r_loc_16_loc_8_comfort1667868253.020304,2022-11-07 16:44:13.020304,loc_16,loc_8,comfort
89,r_loc_2_loc_4_xl1667868254.020304,2022-11-07 16:44:14.020304,loc_2,loc_4,xl
90,r_loc_7_loc_9_xl1667868255.020304,2022-11-07 16:44:15.020304,loc_7,loc_9,xl
91,r_loc_18_loc_2_x1667868256.020304,2022-11-07 16:44:16.020304,loc_18,loc_2,x
92,r_loc_11_loc_9_green1667868257.020304,2022-11-07 16:44:17.020304,loc_11,loc_9,green
93,r_loc_17_loc_10_xl1667868258.020304,2022-11-07 16:44:18.020304,loc_17,loc_10,xl
94,r_loc_0_loc_9_xl1667868259.020304,2022-11-07 16:44:19.020304,loc_0,loc_9,xl
95,r_loc_0_loc_16_x1667868260.020304,2022-11-07 16:44:20.020304,loc_0,loc_16,x
96,r_loc_10_loc_15_xl1667868261.020304,2022-11-07 16:44:21.020304,loc_10,loc_15,xl
97,r_loc_9_loc_19_comfort1667868262.020304,2022-11-07 16:44:22.020304,loc_9,loc_19,comfort
98,r_loc_18_loc_4_comfort1667868263.020304,2022-11-07 16:44:23.020304,loc_18,loc_4,comfort
99,r_loc_17_loc_14_xl1667868264.020304,2022-11-07 16:44:24.020304,loc_17,loc_14,xl
100,r_loc_17_loc_0_comfort1667868265.020304,2022-11-07 16:44:25.020304,loc_17,loc_0,comfort
101,r_loc_7_loc_12_comfort1667868266.020304,2022-11-07 16:44:26.020304,loc_7,loc_12,comfort
102,r_loc_14_loc_6_comfort1667868267.020304,2022-11-07 16:44:27.020304,loc_14,loc_6,comfort
103,r_loc_16_loc_10_x1667868268.020304,2022-11-07 16:44:28.020304,loc_16,loc_10,x
104,r_loc_6_loc_10_green1667868269.020304,2022-11-07 16:44:29.020304,loc_6,loc_10,green
105,r_loc_2_loc_4_xl1667868270.020304,2022-11-07 16:44:30.020304,loc_2,loc_4,xl
106,r_loc_18_loc_8_green1667868271.020304,2022-11-07 16:44:31.020304,loc_18,loc_8,green
107,r_loc_5_loc_17_green1667868272.020304,2022-11-07 16:44:32.020304,loc_5,loc_17,green
108,r_loc_19_loc_14_green1667868273.020304,2022-11-07 16:44:33.020304,loc_19,loc_14,green
109,r_loc_13_loc_3_green1667868274.020304,2022-11-07 16:44:34.020304,loc_13,loc_3,green
110,r_loc_19_loc_2_x1667868275.020304,2022-11-07 16:44:35.020304,loc_19,loc_2,x
111,r_loc_2_loc_13_green1667868276.020304,2022-11-07 16:44:36.020304,loc_2,loc_13,green
112,r_loc_7_loc_8_comfort1667868277.020304,2022-11-07 16:44:37.020304,loc_7,loc_8,comfort
113,r_loc_18_loc_15_x1667868278.020304,2022-11-07 16:44:38.020304,loc_18,loc_15,x
114,r_loc_15_loc_8_xl1667868279.020304,2022-11-07 16:44:39.020304,loc_15,loc_8,xl
115,r_loc_8_loc_9_comfort1667868280.020304,2022-11-07 16:44:40.020304,loc_8,loc_9,comfort
116,r_loc_7_loc_12_green1667868281.020304,2022-11-07 16:44:41.020304,loc_7,loc_12,green
117,r_loc_6_loc_19_comfort1667868282.020304,2022-11-07 16:44:42.020304,loc_6,loc_19,comfort
118,r_loc_5_loc_10_comfort1667868283.020304,2022-11-07 16:44:43.020304,loc_5,loc_10,comfort
119,r_loc_6_loc_0_x1667868284.020304,2022-11-07 16:44:44.020304,loc_6,loc_0,x
120,r_loc_2_loc_5_comfort1667868285.020304,2022-11-07 16:44:45.020304,loc_2,loc_5,comfort
121,r_loc_12_loc_5_xl1667868286.020304,2022-11-07 16:44:46.020304,loc_12,loc_5,xl
122,r_loc_15_loc_12_xl1667868287.020304,2022-11-07 16:44:47.020304,loc_15,loc_12,xl
123,r_loc_7_loc_1_x1667868288.020304,2022-11-07 16:44:48.020304,loc_7,loc_1,x
124,r_loc_13_loc_12_x1667868289.020304,2022-11-07 16:44:49.020304,loc_13,loc_12,x
125,r_loc_18_loc_19_comfort1667868290.020304,2022-11-07 16:44:50.020304,loc_18,loc_19,comfort
126,r_loc_16_loc_7_comfort1667868291.020304,2022-11-07 16:44:51.020304,loc_16,loc_7,comfort
127,r_loc_17_loc_1_xl1667868292.020304,2022-11-07 16:44:52.020304,loc_17,loc_1,xl
128,r_loc_10_loc_16_xl1667868293.020304,2022-11-07 16:44:53.020304,loc_10,loc_16,xl
129,r_loc_2_loc_7_green1667868294.020304,2022-11-07 16:44:54.020304,loc_2,loc_7,green
130,r_loc_10_loc_16_x1667868295.020304,2022-11-07 16:44:55.020304,loc_10,loc_16,x
131,r_loc_17_loc_1_x1667868296.020304,2022-11-07 16:44:56.020304,loc_17,loc_1,x
132,r_loc_15_loc_17_green1667868297.020304,2022-11-07 16:44:57.020304,loc_15,loc_17,green
133,r_loc_16_loc_17_comfort1667868298.020304,2022-11-07 16:44:58.020304,loc_16,loc_17,comfort
134,r_loc_13_loc_19_x1667868299.020304,2022-11-07 16:44:59.020304,loc_13,loc_19,x
135,r_loc_15_loc_9_green1667868300.020304,2022-11-07 16:45:00.020304,loc_15,loc_9,green
136,r_loc_5_loc_12_green1667868301.020304,2022-11-07 16:45:01.020304,loc_5,loc_12,green
137,r_loc_10_loc_16_green1667868302.020304,2022-11-07 16:45:02.020304,loc_10,loc_16,green
138,r_loc_5_loc_12_green1667868303.020304,2022-11-07 16:45:03.020304,loc_5,loc_12,green
139,r_loc_7_loc_13_comfort1667868304.020304,2022-11-07 16:45:04.020304,loc_7,loc_13,comfort
140,r_loc_11_loc_13_xl1667868305.020304,2022-11-07 16:45:05.020304,loc_11,loc_13,xl
141,r_loc_4_loc_14_comfort1667868306.020304,2022-11-07 16:45:06.020304,loc_4,loc_14,comfort
142,r_loc_12_loc_5_green1667868307.020304,2022-11-07 16:45:07.020304,loc_12,loc_5,green
143,r_loc_0_loc_7_comfort1667868308.020304,2022-11-07 16:45:08.020304,loc_0,loc_7,comfort
144,r_loc_17_loc_10_xl1667868309.020304,2022-11-07 16:45:09.020304,loc_17,loc_10,xl
145,r_loc_18_loc_3_x1667868310.020304,2022-11-07 16:45:10.020304,loc_18,loc_3,x
146,r_loc_1_loc_8_green1667868311.020304,2022-11-07 16:45:11.020304,loc_1,loc_8,green
147,r_loc_4_loc_9_green1667868312.020304,2022-11-07 16:45:12.020304,loc_4,loc_9,green
148,r_loc_8_loc_14_x1667868313.020304,2022-11-07 16:45:13.020304,loc_8,loc_14,x
149,r_loc_11_loc_3_xl1667868314.020304,2022-11-07 16:45:14.020304,loc_11,loc_3,xl
150,r_loc_2_loc_16_comfort1667868315.020304,2022-11-07 16:45:15.020304,loc_2,loc_16,comfort
151,r_loc_5_loc_3_green1667868316.020304,2022-11-07 16:45:16.020304,loc_5,loc_3,green
152,r_loc_14_loc_15_x1667868317.020304,2022-11-07 16:45:17.020304,loc_14,loc_15,x
153,r_loc_17_loc_13_x1667868318.020304,2022-11-07 16:45:18.020304,loc_17,loc_13,x
154,r_loc_17_loc_3_xl1667868319.020304,2022-11-07 16:45:19.020304,loc_17,loc_3,xl
155,r_loc_17_loc_12_xl1667868320.020304,2022-11-07 16:45:20.020304,loc_17,loc_12,xl
156,r_loc_10_loc_2_green1667868321.020304,2022-11-07 16:45:21.020304,loc_10,loc_2,green
157,r_loc_14_loc_19_green1667868322.020304,2022-11-07 16:45:22.020304,loc_14,loc_19,green
158,r_loc_5_loc_12_green1667868323.020304,2022-11-07 16:45:23.020304,loc_5,loc_12,green
159,r_loc_3_loc_10_green1667868324.020304,2022-11-07 16:45:24.020304,loc_3,loc_10,green
160,r_loc_7_loc_10_xl1667868325.020304,2022-11-07 16:45:25.020304,loc_7,loc_10,xl
161,r_loc_7_loc_14_x1667868326.020304,2022-11-07 16:45:26.020304,loc_7,loc_14,x
162,r_loc_7_loc_12_comfort1667868327.020304,2022-11-07 16:45:27.020304,loc_7,loc_12,comfort
163,r_loc_1_loc_1_x1667868328.020304,2022-11-07 16:45:28.020304,loc_1,loc_1,x
164,r_loc_1_loc_14_x1667868329.020304,2022-11-07 16:45:29.020304,loc_1,loc_14,x
165,r_loc_7_loc_11_x1667868330.020304,2022-11-07 16:45:30.020304,loc_7,loc_11,x
166,r_loc_17_loc_13_x1667868331.020304,2022-11-07 16:45:31.020304,loc_17,loc_13,x
167,r_loc_1_loc_19_green1667868332.020304,2022-11-07 16:45:32.020304,loc_1,loc_19,green
168,r_loc_6_loc_3_green1667868333.020304,2022-11-07 16:45:33.020304,loc_6,loc_3,green
169,r_loc_14_loc_10_comfort1667868334.020304,2022-11-07 16:45:34.020304,loc_14,loc_10,comfort
170,r_loc_14_loc_15_green1667868335.020304,2022-11-07 16:45:35.020304,loc_14,loc_15,green
171,r_loc_14_loc_19_xl1667868336.020304,2022-11-07 16:45:36.020304,loc_14,loc_19,xl
172,r_loc_17_loc_2_xl1667868337.020304,2022-11-07 16:45:37.020304,loc_17,loc_2,xl
173,r_loc_2_loc_14_xl1667868338.020304,2022-11-07 16:45:38.020304,loc_2,loc_14,xl
174,r_loc_11_loc_18_x1667868339.020304,2022-11-07 16:45:39.020304,loc_11,loc_18,x
175,r_loc_11_loc_17_xl1667868340.020304,2022-11-07 16:45:40.020304,loc_11,loc_17,xl
176,r_loc_0_loc_4_xl1667868341.020304,2022-11-07 16:45:41.020304,loc_0,loc_4,xl
177,r_loc_8_loc_14_x1667868342.020304,2022-11-07 16:45:42.020304,loc_8,loc_14,x
178,r_loc_6_loc_11_x1667868343.020304,2022-11-07 16:45:43.020304,loc_6,loc_11,x
179,r_loc_1_loc_12_xl1667868344.020304,2022-11-07 16:45:44.020304,loc_1,loc_12,xl
180,r_loc_1_loc_14_x1667868345.020304,2022-11-07 16:45:45.020304,loc_1,loc_14,x
181,r_loc_4_loc_9_xl1667868346.020304,2022-11-07 16:45:46.020304,loc_4,loc_9,xl
182,r_loc_15_loc_6_x1667868347.020304,2022-11-07 16:45:47.020304,loc_15,loc_6,x
183,r_loc_19_loc_11_xl1667868348.020304,2022-11-07 16:45:48.020304,loc_19,loc_11,xl
184,r_loc_4_loc_13_xl1667868349.020304,2022-11-07 16:45:49.020304,loc_4,loc_13,xl
185,r_loc_11_loc_3_comfort1667868350.020304,2022-11-07 16:45:50.020304,loc_11,loc_3,comfort
186,r_loc_11_loc_5_x1667868351.020304,2022-11-07 16:45:51.020304,loc_11,loc_5,x
187,r_loc_16_loc_8_green1667868352.020304,2022-11-07 16:45:52.020304,loc_16,loc_8,green
188,r_loc_0_loc_13_comfort1667868353.020304,2022-11-07 16:45:53.020304,loc_0,loc_13,comfort
189,r_loc_17_loc_18_comfort1667868354.020304,2022-11-07 16:45:54.020304,loc_17,loc_18,comfort
190,r_loc_19_loc_3_comfort1667868355.020304,2022-11-07 16:45:55.020304,loc_19,loc_3,comfort
191,r_loc_12_loc_6_xl1667868356.020304,2022-11-07 16:45:56.020304,loc_12,loc_6,xl
192,r_loc_4_loc_4_comfort1667868357.020304,2022-11-07 16:45:57.020304,loc_4,loc_4,comfort
193,r_loc_16_loc_15_comfort1667868358.020304,2022-11-07 16:45:58.020304,loc_16,loc_15,comfort
194,r_loc_10_loc_5_xl1667868359.020304,2022-11-07 16:45:59.020304,loc_10,loc_5,xl
195,r_loc_8_loc_6_x1667868360.020304,2022-11-07 16:46:00.020304,loc_8,loc_6,x
196,r_loc_13_loc_18_green1667868361.020304,2022-11-07 16:46:01.020304,loc_13,loc_18,green
197,r_loc_15_loc_17_x1667868362.020304,2022-11-07 16:46:02.020304,loc_15,loc_17,x
198,r_loc_2_loc_5_comfort1667868363.020304,2022-11-07 16:46:03.020304,loc_2,loc_5,comfort
199,r_loc_2_loc_19_x1667868364.020304,2022-11-07 16:46:04.020304,loc_2,loc_19,x
200,r_loc_14_loc_17_green1667868365.020304,2022-11-07 16:46:05.020304,loc_14,loc_17,green
201,r_loc_14_loc_3_x1667868366.020304,2022-11-07 16:46:06.020304,loc_14,loc_3,x
202,r_loc_2_loc_8_xl1667868367.020304,2022-11-07 16:46:07.020304,loc_2,loc_8,xl
203,r_loc_18_loc_3_green1667868368.020304,2022-11-07 16:46:08.020304,loc_18,loc_3,green
204,r_loc_12_loc_10_green1667868369.020304,2022-11-07 16:46:09.020304,loc_12,loc_10,green
205,r_loc_13_loc_7_xl1667868370.020304,2022-11-07 16:46:10.020304,loc_13,loc_7,xl
206,r_loc_1_loc_7_comfort1667868371.020304,2022-11-07 16:46:11.020304,loc_1,loc_7,comfort
207,r_loc_12_loc_17_xl1667868372.020304,2022-11-07 16:46:12.020304,loc_12,loc_17,xl
208,r_loc_12_loc_13_x1667868373.020304,2022-11-07 16:46:13.020304,loc_12,loc_13,x
209,r_loc_17_loc_14_green1667868374.020304,2022-11-07 16:46:14.020304,loc_17,loc_14,green
210,r_loc_12_loc_14_x1667868375.020304,2022-11-07 16:46:15.020304,loc_12,loc_14,x
211,r_loc_10_loc_1_xl1667868376.020304,2022-11-07 16:46:16.020304,loc_10,loc_1,xl
212,r_loc_4_loc_4_comfort1667868377.020304,2022-11-07 16:46:17.020304,loc_4,loc_4,comfort
213,r_loc_12_loc_6_xl1667868378.020304,2022-11-07 16:46:18.020304,loc_12,loc_6,xl
214,r_loc_8_loc_5_xl1667868379.020304,2022-11-07 16:46:19.020304,loc_8,loc_5,xl
215,r_loc_3_loc_10_comfort1667868380.020304,2022-11-07 16:46:20.020304,loc_3,loc_10,comfort
216,r_loc_8_loc_18_x1667868381.020304,2022-11-07 16:46:21.020304,loc_8,loc_18,x
217,r_loc_15_loc_7_green1667868382.020304,2022-11-07 16:46:22.020304,loc_15,loc_7,green
218,r_loc_13_loc_13_x1667868383.020304,2022-11-07 16:46:23.020304,loc_13,loc_13,x
219,r_loc_15_loc_4_x1667868384.020304,2022-11-07 16:46:24.020304,loc_15,loc_4,x
220,r_loc_10_loc_17_xl1667868385.020304,2022-11-07 16:46:25.020304,loc_10,loc_17,xl
221,r_loc_17_loc_2_comfort1667868386.020304,2022-11-07 16:46:26.020304,loc_17,loc_2,comfort
222,r_loc_15_loc_14_x1667868387.020304,2022-11-07 16:46:27.020304,loc_15,loc_14,x
223,r_loc_17_loc_2_xl1667868388.020304,2022-11-07 16:46:28.020304,loc_17,loc_2,xl
224,r_loc_11_loc_16_comfort1667868389.020304,2022-11-07 16:46:29.020304,loc_11,loc_16,comfort
225,r_loc_15_loc_16_x1667868390.020304,2022-11-07 16:46:30.020304,loc_15,loc_16,x
226,r_loc_8_loc_13_xl1667868391.020304,2022-11-07 16:46:31.020304,loc_8,loc_13,xl
227,r_loc_19_loc_11_green1667868392.020304,2022-11-07 16:46:32.020304,loc_19,loc_11,green
228,r_loc_8_loc_15_green1667868393.020304,2022-11-07 16:46:33.020304,loc_8,loc_15,green
229,r_loc_11_loc_16_green1667868394.020304,2022-11-07 16:46:34.020304,loc_11,loc_16,green
230,r_loc_12_loc_2_green1667868395.020304,2022-11-07 16:46:35.020304,loc_12,loc_2,green
231,r_loc_15_loc_4_comfort1667868396.020304,2022-11-07 16:46:36.020304,loc_15,loc_4,comfort
232,r_loc_2_loc_9_xl1667868397.020304,2022-11-07 16:46:37.020304,loc_2,loc_9,xl
233,r_loc_4_loc_9_green1667868398.020304,2022-11-07 16:46:38.020304,loc_4,loc_9,green
234,r_loc_4_loc_13_green1667868399.0235,2022-11-07 16:46:39.023500,loc_4,loc_13,green
235,r_loc_19_loc_8_green1667868400.0235,2022-11-07 16:46:40.023500,loc_19,loc_8,green
236,r_loc_13_loc_13_comfort1667868401.0235,2022-11-07 16:46:41.023500,loc_13,loc_13,comfort
237,r_loc_9_loc_12_xl1667868402.0235,2022-11-07 16:46:42.023500,loc_9,loc_12,xl
238,r_loc_12_loc_10_comfort1667868403.0235,2022-11-07 16:46:43.023500,loc_12,loc_10,comfort
239,r_loc_14_loc_9_xl1667868404.0235,2022-11-07 16:46:44.023500,loc_14,loc_9,xl
240,r_loc_0_loc_11_comfort1667868405.0235,2022-11-07 16:46:45.023500,loc_0,loc_11,comfort
241,r_loc_11_loc_10_comfort1667868406.0235,2022-11-07 16:46:46.023500,loc_11,loc_10,comfort
242,r_loc_9_loc_0_green1667868407.0235,2022-11-07 16:46:47.023500,loc_9,loc_0,green
243,r_loc_7_loc_9_x1667868408.0235,2022-11-07 16:46:48.023500,loc_7,loc_9,x
244,r_loc_0_loc_15_comfort1667868409.0235,2022-11-07 16:46:49.023500,loc_0,loc_15,comfort
245,r_loc_2_loc_0_comfort1667868410.0235,2022-11-07 16:46:50.023500,loc_2,loc_0,comfort
246,r_loc_7_loc_3_x1667868411.0235,2022-11-07 16:46:51.023500,loc_7,loc_3,x
247,r_loc_12_loc_19_comfort1667868412.0235,2022-11-07 16:46:52.023500,loc_12,loc_19,comfort
248,r_loc_1_loc_12_x1667868413.0235,2022-11-07 16:46:53.023500,loc_1,loc_12,x
249,r_loc_14_loc_2_x1667868414.0235,2022-11-07 16:46:54.023500,loc_14,loc_2,x
250,r_loc_9_loc_12_green1667868415.0235,2022-11-07 16:46:55.023500,loc_9,loc_12,green
251,r_loc_10_loc_8_x1667868416.0235,2022-11-07 16:46:56.023500,loc_10,loc_8,x
252,r_loc_2_loc_5_xl1667868417.0235,2022-11-07 16:46:57.023500,loc_2,loc_5,xl
253,r_loc_18_loc_2_comfort1667868418.0235,2022-11-07 16:46:58.023500,loc_18,loc_2,comfort
254,r_loc_11_loc_17_comfort1667868419.0235,2022-11-07 16:46:59.023500,loc_11,loc_17,comfort
255,r_loc_3_loc_8_x1667868420.0235,2022-11-07 16:47:00.023500,loc_3,loc_8,x
256,r_loc_15_loc_12_green1667868421.0235,2022-11-07 16:47:01.023500,loc_15,loc_12,green
257,r_loc_14_loc_0_comfort1667868422.0235,2022-11-07 16:47:02.023500,loc_14,loc_0,comfort
258,r_loc_1_loc_14_green1667868423.0235,2022-11-07 16:47:03.023500,loc_1,loc_14,green
259,r_loc_8_loc_11_comfort1667868424.0235,2022-11-07 16:47:04.023500,loc_8,loc_11,comfort
260,r_loc_14_loc_13_comfort1667868425.0235,2022-11-07 16:47:05.023500,loc_14,loc_13,comfort
261,r_loc_1_loc_10_xl1667868426.0235,2022-11-07 16:47:06.023500,loc_1,loc_10,xl
262,r_loc_7_loc_4_xl1667868427.0235,2022-11-07 16:47:07.023500,loc_7,loc_4,xl
263,r_loc_8_loc_10_comfort1667868428.0235,2022-11-07 16:47:08.023500,loc_8,loc_10,comfort
264,r_loc_11_loc_5_comfort1667868429.0235,2022-11-07 16:47:09.023500,loc_11,loc_5,comfort
