,id,starttime,endtime,location,car_type,car_id
53,c_loc_1_green_1667868218.210341,2022-11-07 16:43:38.210341,2022-11-12 16:43:38.210341,loc_1,green,c_511
54,c_loc_17_green_1667868219.210341,2022-11-07 16:43:39.210341,2022-11-12 16:43:39.210341,loc_17,green,c_143
55,c_loc_12_x_1667868220.210341,2022-11-07 16:43:40.210341,2022-11-12 16:43:40.210341,loc_12,x,c_876
56,c_loc_0_x_1667868221.210341,2022-11-07 16:43:41.210341,2022-11-12 16:43:41.210341,loc_0,x,c_950
57,c_loc_5_green_1667868222.210341,2022-11-07 16:43:42.210341,2022-11-12 16:43:42.210341,loc_5,green,c_690
58,c_loc_6_comfort_1667868223.210341,2022-11-07 16:43:43.210341,2022-11-12 16:43:43.210341,loc_6,comfort,c_87
59,c_loc_11_comfort_1667868224.210341,2022-11-07 16:43:44.210341,2022-11-12 16:43:44.210341,loc_11,comfort,c_641
60,c_loc_2_xl_1667868225.210341,2022-11-07 16:43:45.210341,2022-11-12 16:43:45.210341,loc_2,xl,c_541
61,c_loc_6_comfort_1667868226.210341,2022-11-07 16:43:46.210341,2022-11-12 16:43:46.210341,loc_6,comfort,c_696
62,c_loc_3_x_1667868227.210341,2022-11-07 16:43:47.210341,2022-11-12 16:43:47.210341,loc_3,x,c_453
63,c_loc_2_xl_1667868228.210341,2022-11-07 16:43:48.210341,2022-11-12 16:43:48.210341,loc_2,xl,c_342
64,c_loc_1_xl_1667868229.210341,2022-11-07 16:43:49.210341,2022-11-12 16:43:49.210341,loc_1,xl,c_967
65,c_loc_6_x_1667868230.210341,2022-11-07 16:43:50.210341,2022-11-12 16:43:50.210341,loc_6,x,c_281
66,c_loc_7_xl_1667868231.210341,2022-11-07 16:43:51.210341,2022-11-12 16:43:51.210341,loc_7,xl,c_912
67,c_loc_19_green_1667868232.210341,2022-11-07 16:43:52.210341,2022-11-12 16:43:52.210341,loc_19,green,c_913
68,c_loc_6_comfort_1667868233.210341,2022-11-07 16:43:53.210341,2022-11-12 16:43:53.210341,loc_6,comfort,c_513
69,c_loc_19_x_1667868234.210341,2022-11-07 16:43:54.210341,2022-11-12 16:43:54.210341,loc_19,x,c_736
70,c_loc_10_green_1667868235.210341,2022-11-07 16:43:55.210341,2022-11-12 16:43:55.210341,loc_10,green,c_427
71,c_loc_15_xl_1667868236.210341,2022-11-07 16:43:56.210341,2022-11-12 16:43:56.210341,loc_15,xl,c_314
72,c_loc_2_x_1667868237.210341,2022-11-07 16:43:57.210341,2022-11-12 16:43:57.210341,loc_2,x,c_867
73,c_loc_15_comfort_1667868238.210341,2022-11-07 16:43:58.210341,2022-11-12 16:43:58.210341,loc_15,comfort,c_164
74,c_loc_0_green_1667868239.210341,2022-11-07 16:43:59.210341,2022-11-12 16:43:59.210341,loc_0,green,c_258
75,c_loc_2_x_1667868240.210341,2022-11-07 16:44:00.210341,2022-11-12 16:44:00.210341,loc_2,x,c_381
76,c_loc_7_green_1667868241.210341,2022-11-07 16:44:01.210341,2022-11-12 16:44:01.210341,loc_7,green,c_913
77,c_loc_19_comfort_1667868242.210341,2022-11-07 16:44:02.210341,2022-11-12 16:44:02.210341,loc_19,comfort,c_207
78,c_loc_4_x_1667868243.210341,2022-11-07 16:44:03.210341,2022-11-12 16:44:03.210341,loc_4,x,c_320
79,c_loc_12_x_1667868244.210341,2022-11-07 16:44:04.210341,2022-11-12 16:44:04.210341,loc_12,x,c_219
80,c_loc_1_green_1667868245.210341,2022-11-07 16:44:05.210341,2022-11-12 16:44:05.210341,loc_1,green,c_441
81,c_loc_16_x_1667868246.210341,2022-11-07 16:44:06.210341,2022-11-12 16:44:06.210341,loc_16,x,c_676
82,c_loc_18_green_1667868247.210341,2022-11-07 16:44:07.210341,2022-11-12 16:44:07.210341,loc_18,green,c_367
83,c_loc_7_x_1667868248.210341,2022-11-07 16:44:08.210341,2022-11-12 16:44:08.210341,loc_7,x,c_150
84,c_loc_3_green_1667868249.210341,2022-11-07 16:44:09.210341,2022-11-12 16:44:09.210341,loc_3,green,c_96
85,c_loc_4_xl_1667868250.210341,2022-11-07 16:44:10.210341,2022-11-12 16:44:10.210341,loc_4,xl,c_374
86,c_loc_7_xl_1667868251.210341,2022-11-07 16:44:11.210341,2022-11-12 16:44:11.210341,loc_7,xl,c_531
87,c_loc_17_x_1667868252.210341,2022-11-07 16:44:12.210341,2022-11-12 16:44:12.210341,loc_17,x,c_281
88,c_loc_0_green_1667868253.210341,2022-11-07 16:44:13.210341,2022-11-12 16:44:13.210341,loc_0,green,c_726
89,c_loc_13_comfort_1667868254.210341,2022-11-07 16:44:14.210341,2022-11-12 16:44:14.210341,loc_13,comfort,c_198
90,c_loc_6_x_1667868255.210341,2022-11-07 16:44:15.210341,2022-11-12 16:44:15.210341,loc_6,x,c_719
91,c_loc_14_xl_1667868256.210341,2022-11-07 16:44:16.210341,2022-11-12 16:44:16.210341,loc_14,xl,c_613
92,c_loc_18_green_1667868257.210341,2022-11-07 16:44:17.210341,2022-11-12 16:44:17.210341,loc_18,green,c_162
93,c_loc_9_xl_1667868258.210341,2022-11-07 16:44:18.210341,2022-11-12 16:44:18.210341,loc_9,xl,c_437
94,c_loc_0_comfort_1667868259.210341,2022-11-07 16:44:19.210341,2022-11-12 16:44:19.210341,loc_0,comfort,c_29
95,c_loc_9_comfort_1667868260.210341,2022-11-07 16:44:20.210341,2022-11-12 16:44:20.210341,loc_9,comfort,c_548
96,c_loc_12_x_1667868261.210341,2022-11-07 16:44:21.210341,2022-11-12 16:44:21.210341,loc_12,x,c_363
97,c_loc_9_xl_1667868262.210341,2022-11-07 16:44:22.210341,2022-11-12 16:44:22.210341,loc_9,xl,c_641
98,c_loc_17_xl_1667868263.210341,2022-11-07 16:44:23.210341,2022-11-12 16:44:23.210341,loc_17,xl,c_806
99,c_loc_2_x_1667868264.210341,2022-11-07 16:44:24.210341,2022-11-12 16:44:24.210341,loc_2,x,c_656
100,c_loc_19_comfort_1667868265.210341,2022-11-07 16:44:25.210341,2022-11-12 16:44:25.210341,loc_19,comfort,c_663
101,c_loc_4_x_1667868266.210341,2022-11-07 16:44:26.210341,2022-11-12 16:44:26.210341,loc_4,x,c_509
102,c_loc_12_xl_1667868267.210341,2022-11-07 16:44:27.210341,2022-11-12 16:44:27.210341,loc_12,xl,c_878
103,c_loc_12_x_1667868268.210341,2022-11-07 16:44:28.210341,2022-11-12 16:44:28.210341,loc_12,x,c_896
104,c_loc_2_green_1667868269.210341,2022-11-07 16:44:29.210341,2022-11-12 16:44:29.210341,loc_2,green,c_923
105,c_loc_5_green_1667868270.210341,2022-11-07 16:44:30.210341,2022-11-12 16:44:30.210341,loc_5,green,c_195
106,c_loc_10_comfort_1667868271.210341,2022-11-07 16:44:31.210341,2022-11-12 16:44:31.210341,loc_10,comfort,c_591
107,c_loc_10_green_1667868272.210341,2022-11-07 16:44:32.210341,2022-11-12 16:44:32.210341,loc_10,green,c_376
108,c_loc_11_green_1667868273.210341,2022-11-07 16:44:33.210341,2022-11-12 16:44:33.210341,loc_11,green,c_629
109,c_loc_9_xl_1667868274.210341,2022-11-07 16:44:34.210341,2022-11-12 16:44:34.210341,loc_9,xl,c_713
110,c_loc_0_x_1667868275.210341,2022-11-07 16:44:35.210341,2022-11-12 16:44:35.210341,loc_0,x,c_407
111,c_loc_9_green_1667868276.210341,2022-11-07 16:44:36.210341,2022-11-12 16:44:36.210341,loc_9,green,c_214
112,c_loc_11_xl_1667868277.210341,2022-11-07 16:44:37.210341,2022-11-12 16:44:37.210341,loc_11,xl,c_55
113,c_loc_11_comfort_1667868278.210341,2022-11-07 16:44:38.210341,2022-11-12 16:44:38.210341,loc_11,comfort,c_288
114,c_loc_12_comfort_1667868279.210341,2022-11-07 16:44:39.210341,2022-11-12 16:44:39.210341,loc_12,comfort,c_45
115,c_loc_8_x_1667868280.210341,2022-11-07 16:44:40.210341,2022-11-12 16:44:40.210341,loc_8,x,c_82
116,c_loc_16_xl_1667868281.210341,2022-11-07 16:44:41.210341,2022-11-12 16:44:41.210341,loc_16,xl,c_354
117,c_loc_5_x_1667868282.210341,2022-11-07 16:44:42.210341,2022-11-12 16:44:42.210341,loc_5,x,c_797
118,c_loc_10_comfort_1667868283.210341,2022-11-07 16:44:43.210341,2022-11-12 16:44:43.210341,loc_10,comfort,c_300
119,c_loc_2_comfort_1667868284.210341,2022-11-07 16:44:44.210341,2022-11-12 16:44:44.210341,loc_2,comfort,c_160
120,c_loc_1_x_1667868285.210341,2022-11-07 16:44:45.210341,2022-11-12 16:44:45.210341,loc_1,x,c_346
121,c_loc_5_xl_1667868286.210341,2022-11-07 16:44:46.210341,2022-11-12 16:44:46.210341,loc_5,xl,c_249
122,c_loc_13_x_1667868287.210341,2022-11-07 16:44:47.210341,2022-11-12 16:44:47.210341,loc_13,x,c_815
123,c_loc_18_x_1667868288.210341,2022-11-07 16:44:48.210341,2022-11-12 16:44:48.210341,loc_18,x,c_480
124,c_loc_10_xl_1667868289.210341,2022-11-07 16:44:49.210341,2022-11-12 16:44:49.210341,loc_10,xl,c_447
125,c_loc_4_x_1667868290.210341,2022-11-07 16:44:50.210341,2022-11-12 16:44:50.210341,loc_4,x,c_293
126,c_loc_12_comfort_1667868291.210341,2022-11-07 16:44:51.210341,2022-11-12 16:44:51.210341,loc_12,comfort,c_742
127,c_loc_10_xl_1667868292.210341,2022-11-07 16:44:52.210341,2022-11-12 16:44:52.210341,loc_10,xl,c_440
128,c_loc_11_x_1667868293.210341,2022-11-07 16:44:53.210341,2022-11-12 16:44:53.210341,loc_11,x,c_403
129,c_loc_15_xl_1667868294.210341,2022-11-07 16:44:54.210341,2022-11-12 16:44:54.210341,loc_15,xl,c_863
130,c_loc_4_green_1667868295.210341,2022-11-07 16:44:55.210341,2022-11-12 16:44:55.210341,loc_4,green,c_30
131,c_loc_10_comfort_1667868296.210341,2022-11-07 16:44:56.210341,2022-11-12 16:44:56.210341,loc_10,comfort,c_557
132,c_loc_18_x_1667868297.210341,2022-11-07 16:44:57.210341,2022-11-12 16:44:57.210341,loc_18,x,c_98
133,c_loc_3_xl_1667868298.210341,2022-11-07 16:44:58.210341,2022-11-12 16:44:58.210341,loc_3,xl,c_192
134,c_loc_14_xl_1667868299.210341,2022-11-07 16:44:59.210341,2022-11-12 16:44:59.210341,loc_14,xl,c_114
135,c_loc_14_x_1667868300.210341,2022-11-07 16:45:00.210341,2022-11-12 16:45:00.210341,loc_14,x,c_454
136,c_loc_12_comfort_1667868301.210341,2022-11-07 16:45:01.210341,2022-11-12 16:45:01.210341,loc_12,comfort,c_819
137,c_loc_5_comfort_1667868302.210341,2022-11-07 16:45:02.210341,2022-11-12 16:45:02.210341,loc_5,comfort,c_964
138,c_loc_6_x_1667868303.210341,2022-11-07 16:45:03.210341,2022-11-12 16:45:03.210341,loc_6,x,c_791
139,c_loc_13_x_1667868304.210341,2022-11-07 16:45:04.210341,2022-11-12 16:45:04.210341,loc_13,x,c_412
140,c_loc_13_green_1667868305.210341,2022-11-07 16:45:05.210341,2022-11-12 16:45:05.210341,loc_13,green,c_233
141,c_loc_18_x_1667868306.210341,2022-11-07 16:45:06.210341,2022-11-12 16:45:06.210341,loc_18,x,c_893
142,c_loc_3_x_1667868307.210341,2022-11-07 16:45:07.210341,2022-11-12 16:45:07.210341,loc_3,x,c_200
143,c_loc_16_xl_1667868308.210341,2022-11-07 16:45:08.210341,2022-11-12 16:45:08.210341,loc_16,xl,c_810
144,c_loc_3_xl_1667868309.210341,2022-11-07 16:45:09.210341,2022-11-12 16:45:09.210341,loc_3,xl,c_821
145,c_loc_1_comfort_1667868310.210341,2022-11-07 16:45:10.210341,2022-11-12 16:45:10.210341,loc_1,comfort,c_763
146,c_loc_13_xl_1667868311.210341,2022-11-07 16:45:11.210341,2022-11-12 16:45:11.210341,loc_13,xl,c_751
147,c_loc_0_comfort_1667868312.210341,2022-11-07 16:45:12.210341,2022-11-12 16:45:12.210341,loc_0,comfort,c_142
148,c_loc_6_green_1667868313.210341,2022-11-07 16:45:13.210341,2022-11-12 16:45:13.210341,loc_6,green,c_241
149,c_loc_7_xl_1667868314.210341,2022-11-07 16:45:14.210341,2022-11-12 16:45:14.210341,loc_7,xl,c_828
150,c_loc_8_green_1667868315.210341,2022-11-07 16:45:15.210341,2022-11-12 16:45:15.210341,loc_8,green,c_732
151,c_loc_15_comfort_1667868316.210341,2022-11-07 16:45:16.210341,2022-11-12 16:45:16.210341,loc_15,comfort,c_865
152,c_loc_4_xl_1667868317.210341,2022-11-07 16:45:17.210341,2022-11-12 16:45:17.210341,loc_4,xl,c_348
153,c_loc_1_x_1667868318.210341,2022-11-07 16:45:18.210341,2022-11-12 16:45:18.210341,loc_1,x,c_192
154,c_loc_16_green_1667868319.210341,2022-11-07 16:45:19.210341,2022-11-12 16:45:19.210341,loc_16,green,c_601
155,c_loc_15_xl_1667868320.210341,2022-11-07 16:45:20.210341,2022-11-12 16:45:20.210341,loc_15,xl,c_209
156,c_loc_19_green_1667868321.210341,2022-11-07 16:45:21.210341,2022-11-12 16:45:21.210341,loc_19,green,c_891
157,c_loc_3_x_1667868322.210341,2022-11-07 16:45:22.210341,2022-11-12 16:45:22.210341,loc_3,x,c_824
158,c_loc_13_x_1667868323.210341,2022-11-07 16:45:23.210341,2022-11-12 16:45:23.210341,loc_13,x,c_76
159,c_loc_6_xl_1667868324.210341,2022-11-07 16:45:24.210341,2022-11-12 16:45:24.210341,loc_6,xl,c_300
160,c_loc_17_xl_1667868325.210341,2022-11-07 16:45:25.210341,2022-11-12 16:45:25.210341,loc_17,xl,c_921
161,c_loc_19_green_1667868326.210341,2022-11-07 16:45:26.210341,2022-11-12 16:45:26.210341,loc_19,green,c_141
162,c_loc_10_comfort_1667868327.210341,2022-11-07 16:45:27.210341,2022-11-12 16:45:27.210341,loc_10,comfort,c_237
163,c_loc_3_comfort_1667868328.210341,2022-11-07 16:45:28.210341,2022-11-12 16:45:28.210341,loc_3,comfort,c_204
164,c_loc_15_x_1667868329.210341,2022-11-07 16:45:29.210341,2022-11-12 16:45:29.210341,loc_15,x,c_952
165,c_loc_9_x_1667868330.210341,2022-11-07 16:45:30.210341,2022-11-12 16:45:30.210341,loc_9,x,c_789
166,c_loc_16_comfort_1667868331.210341,2022-11-07 16:45:31.210341,2022-11-12 16:45:31.210341,loc_16,comfort,c_239
167,c_loc_0_green_1667868332.210341,2022-11-07 16:45:32.210341,2022-11-12 16:45:32.210341,loc_0,green,c_880
168,c_loc_0_x_1667868333.210341,2022-11-07 16:45:33.210341,2022-11-12 16:45:33.210341,loc_0,x,c_641
169,c_loc_5_green_1667868334.210341,2022-11-07 16:45:34.210341,2022-11-12 16:45:34.210341,loc_5,green,c_596
170,c_loc_7_x_1667868335.210341,2022-11-07 16:45:35.210341,2022-11-12 16:45:35.210341,loc_7,x,c_813
171,c_loc_10_green_1667868336.210341,2022-11-07 16:45:36.210341,2022-11-12 16:45:36.210341,loc_10,green,c_988
172,c_loc_8_xl_1667868337.210341,2022-11-07 16:45:37.210341,2022-11-12 16:45:37.210341,loc_8,xl,c_33
173,c_loc_10_comfort_1667868338.210341,2022-11-07 16:45:38.210341,2022-11-12 16:45:38.210341,loc_10,comfort,c_261
174,c_loc_17_x_1667868339.210341,2022-11-07 16:45:39.210341,2022-11-12 16:45:39.210341,loc_17,x,c_584
175,c_loc_0_xl_1667868340.210341,2022-11-07 16:45:40.210341,2022-11-12 16:45:40.210341,loc_0,xl,c_483
176,c_loc_16_green_1667868341.210341,2022-11-07 16:45:41.210341,2022-11-12 16:45:41.210341,loc_16,green,c_893
177,c_loc_17_green_1667868342.210341,2022-11-07 16:45:42.210341,2022-11-12 16:45:42.210341,loc_17,green,c_560
178,c_loc_9_x_1667868343.210341,2022-11-07 16:45:43.210341,2022-11-12 16:45:43.210341,loc_9,x,c_216
179,c_loc_18_comfort_1667868344.210341,2022-11-07 16:45:44.210341,2022-11-12 16:45:44.210341,loc_18,comfort,c_404
180,c_loc_1_green_1667868345.210341,2022-11-07 16:45:45.210341,2022-11-12 16:45:45.210341,loc_1,green,c_296
181,c_loc_3_xl_1667868346.210341,2022-11-07 16:45:46.210341,2022-11-12 16:45:46.210341,loc_3,xl,c_311
182,c_loc_9_x_1667868347.210341,2022-11-07 16:45:47.210341,2022-11-12 16:45:47.210341,loc_9,x,c_949
183,c_loc_6_x_1667868348.210341,2022-11-07 16:45:48.210341,2022-11-12 16:45:48.210341,loc_6,x,c_639
184,c_loc_18_green_1667868349.210341,2022-11-07 16:45:49.210341,2022-11-12 16:45:49.210341,loc_18,green,c_404
185,c_loc_5_x_1667868350.210341,2022-11-07 16:45:50.210341,2022-11-12 16:45:50.210341,loc_5,x,c_939
186,c_loc_5_comfort_1667868351.210341,2022-11-07 16:45:51.210341,2022-11-12 16:45:51.210341,loc_5,comfort,c_698
187,c_loc_11_comfort_1667868352.210341,2022-11-07 16:45:52.210341,2022-11-12 16:45:52.210341,loc_11,comfort,c_409
188,c_loc_18_green_1667868353.210341,2022-11-07 16:45:53.210341,2022-11-12 16:45:53.210341,loc_18,green,c_433
189,c_loc_2_x_1667868354.210341,2022-11-07 16:45:54.210341,2022-11-12 16:45:54.210341,loc_2,x,c_469
190,c_loc_11_comfort_1667868355.210341,2022-11-07 16:45:55.210341,2022-11-12 16:45:55.210341,loc_11,comfort,c_673
191,c_loc_8_xl_1667868356.210341,2022-11-07 16:45:56.210341,2022-11-12 16:45:56.210341,loc_8,xl,c_791
192,c_loc_10_green_1667868357.210341,2022-11-07 16:45:57.210341,2022-11-12 16:45:57.210341,loc_10,green,c_781
193,c_loc_4_x_1667868358.210341,2022-11-07 16:45:58.210341,2022-11-12 16:45:58.210341,loc_4,x,c_391
194,c_loc_13_comfort_1667868359.210341,2022-11-07 16:45:59.210341,2022-11-12 16:45:59.210341,loc_13,comfort,c_201
195,c_loc_3_green_1667868360.210341,2022-11-07 16:46:00.210341,2022-11-12 16:46:00.210341,loc_3,green,c_762
196,c_loc_15_green_1667868361.210341,2022-11-07 16:46:01.210341,2022-11-12 16:46:01.210341,loc_15,green,c_901
197,c_loc_14_green_1667868362.210341,2022-11-07 16:46:02.210341,2022-11-12 16:46:02.210341,loc_14,green,c_225
198,c_loc_6_x_1667868363.210341,2022-11-07 16:46:03.210341,2022-11-12 16:46:03.210341,loc_6,x,c_479
199,c_loc_3_xl_1667868364.210341,2022-11-07 16:46:04.210341,2022-11-12 16:46:04.210341,loc_3,xl,c_199
200,c_loc_10_x_1667868365.210341,2022-11-07 16:46:05.210341,2022-11-12 16:46:05.210341,loc_10,x,c_392
201,c_loc_4_comfort_1667868366.210341,2022-11-07 16:46:06.210341,2022-11-12 16:46:06.210341,loc_4,comfort,c_730
202,c_loc_17_comfort_1667868367.210341,2022-11-07 16:46:07.210341,2022-11-12 16:46:07.210341,loc_17,comfort,c_339
203,c_loc_5_xl_1667868368.210341,2022-11-07 16:46:08.210341,2022-11-12 16:46:08.210341,loc_5,xl,c_813
204,c_loc_13_green_1667868369.210341,2022-11-07 16:46:09.210341,2022-11-12 16:46:09.210341,loc_13,green,c_534
205,c_loc_7_x_1667868370.210341,2022-11-07 16:46:10.210341,2022-11-12 16:46:10.210341,loc_7,x,c_40
206,c_loc_2_green_1667868371.210341,2022-11-07 16:46:11.210341,2022-11-12 16:46:11.210341,loc_2,green,c_799
207,c_loc_5_comfort_1667868372.210341,2022-11-07 16:46:12.210341,2022-11-12 16:46:12.210341,loc_5,comfort,c_600
208,c_loc_3_x_1667868373.210341,2022-11-07 16:46:13.210341,2022-11-12 16:46:13.210341,loc_3,x,c_80
209,c_loc_0_green_1667868374.210341,2022-11-07 16:46:14.210341,2022-11-12 16:46:14.210341,loc_0,green,c_113
210,c_loc_1_xl_1667868375.210341,2022-11-07 16:46:15.210341,2022-11-12 16:46:15.210341,loc_1,xl,c_175
211,c_loc_8_comfort_1667868376.210341,2022-11-07 16:46:16.210341,2022-11-12 16:46:16.210341,loc_8,comfort,c_437
212,c_loc_18_green_1667868377.210341,2022-11-07 16:46:17.210341,2022-11-12 16:46:17.210341,loc_18,green,c_736
213,c_loc_17_x_1667868378.210341,2022-11-07 16:46:18.210341,2022-11-12 16:46:18.210341,loc_17,x,c_521
214,c_loc_18_x_1667868379.210341,2022-11-07 16:46:19.210341,2022-11-12 16:46:19.210341,loc_18,x,c_148
215,c_loc_10_green_1667868380.210341,2022-11-07 16:46:20.210341,2022-11-12 16:46:20.210341,loc_10,green,c_646
216,c_loc_13_xl_1667868381.210341,2022-11-07 16:46:21.210341,2022-11-12 16:46:21.210341,loc_13,xl,c_36
217,c_loc_4_green_1667868382.210341,2022-11-07 16:46:22.210341,2022-11-12 16:46:22.210341,loc_4,green,c_742
218,c_loc_3_comfort_1667868383.210341,2022-11-07 16:46:23.210341,2022-11-12 16:46:23.210341,loc_3,comfort,c_866
219,c_loc_14_x_1667868384.210341,2022-11-07 16:46:24.210341,2022-11-12 16:46:24.210341,loc_14,x,c_797
